PLAYER NAME,TEAM,MATCHES,FOULS WON,FOULS CONCEDED,YELLOW CARDS,RED CARDS
Ousmane Dembele,France,7,3,6,1,0
Sofiane Boufal,Morocco,7,14,11,1,0
Dominik Livakovic,Croatia,7,0,1,1,0
Rodrigo de Paul,Argentina,7,15,7,0,0
Emiliano Martinez,Argentina,7,1,0,1,0
Mateo Kovacic,Croatia,7,11,3,2,0
Azz-Eddine Ounahi,Morocco,7,13,3,1,0
Selim Amallah,Morocco,7,8,11,1,0
Achraf Hakimi,Morocco,7,13,6,0,0
Sofyan Amrabat,Morocco,7,6,14,1,0
Mario Pasalic,Croatia,7,1,4,0,0
Luka Modric,Croatia,7,15,13,1,0
Nicolas Otamendi,Argentina,7,5,13,2,0
Antoine Griezmann,France,7,9,3,1,0
Cristian Romero,Argentina,7,3,12,2,0
Lovro Majer,Croatia,7,3,5,0,0
Hakim Ziyech,Morocco,7,7,12,0,0
Aurelien Tchouameni,France,7,10,8,1,0
Enzo Fernandez,Argentina,7,6,7,1,0
Nahuel Molina,Argentina,7,0,3,0,0
