PLAYER NAME,TEAM,MATCHES,TOTAL GOALS,ASSISTS,KEY PASSES
Kylian Mbappe,France,7,8,2,9
Lionel Messi,Argentina,7,7,3,18
Julian Alvarez,Argentina,7,4,0,2
Olivier Giroud,France,6,4,0,2
Marcus Rashford,England,5,3,0,0
Goncalo Ramos,Portugal,4,3,1,1
Enner Valencia,Ecuador,3,3,0,3
Richarlison,Brazil,4,3,0,6
Alvaro Morata,Spain,4,3,1,1
Bukayo Saka,England,4,3,0,5
Cody Gakpo,Netherlands,5,3,0,10
Niclas Fuellkrug,Germany,3,2,1,0
Ferran Torres,Spain,4,2,0,1
Andrej Kramaric,Croatia,7,2,0,4
Kai Havertz,Germany,2,2,0,2
Neymar,Brazil,3,2,1,5
Mohammed Kudus,Ghana,3,2,0,0
Breel Embolo,Switzerland,4,2,0,2
Aleksandar Mitrovic,Serbia,3,2,0,2
Salem Al Dawsari,Saudi Arabia,3,2,0,6
