PLAYER NAME,TEAM,MATCHES,GOALS,TIME PLAYED
Kylian Mbappe,France,7,8,597 Mins
Lionel Messi,Argentina,7,7,690 Mins
Julian Alvarez,Argentina,7,4,467 Mins
Olivier Giroud,France,6,4,423 Mins
Marcus Rashford,England,5,3,137 Mins
Goncalo Ramos,Portugal,4,3,153 Mins
Enner Valencia,Ecuador,3,3,256 Mins
Richarlison,Brazil,4,3,326 Mins
Alvaro Morata,Spain,4,3,183 Mins
Bukayo Saka,England,4,3,293 Mins
Cody Gakpo,Netherlands,5,3,453 Mins
Niclas Fuellkrug,Germany,3,2,66 Mins
Ferran Torres,Spain,4,2,219 Mins
Andrej Kramaric,Croatia,7,2,481 Mins
Kai Havertz,Germany,2,2,103 Mins
Neymar,Brazil,3,2,281 Mins
Mohammed Kudus,Ghana,3,2,249 Mins
Breel Embolo,Switzerland,4,2,326 Mins
Aleksandar Mitrovic,Serbia,3,2,263 Mins
Salem Al Dawsari,Saudi Arabia,3,2,270 Mins
