PLAYER NAME,MATCHES,PASSES ATTEMPTED (PA),PASSES COMPLETED (PC),PC (%),CROSSES ATTEMPTED,CROSSES COMPLETED
Rodri,4,684,638,93%,684,1
Nicolas Otamendi,7,575,530,92%,575,0
Rodrigo de Paul,7,539,462,86%,539,1
Marcelo Brozovic,6,525,466,89%,525,0
Luka Modric,7,517,458,89%,517,7
Josko Gvardiol,7,515,463,90%,515,0
Aurelien Tchouameni,7,468,423,90%,468,0
Enzo Fernandez,7,468,410,88%,468,1
Mateo Kovacic,7,456,414,91%,456,0
Dejan Lovren,6,455,403,89%,455,1
John Stones,5,453,434,96%,453,0
Aymeric Laporte,3,435,410,94%,435,0
Pedri,4,430,391,91%,430,0
Harry Maguire,5,406,354,87%,406,0
Cristian Romero,7,373,335,90%,373,0
Marquinhos,5,364,349,96%,364,1
Frenkie de Jong,5,358,319,89%,358,1
Virgil van Dijk,5,355,311,88%,355,0
Dayotchanculle Upamecano,5,348,313,90%,348,0
Lionel Messi,7,347,295,85%,347,5
